name,artist,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,rating
Signal from the Noise,BADBADNOTGOOD,46,0.533,0.322,542750,0.496,0.914,6,0.389,-9.478,1,0.037200000000000004,119.961,0.14300000000000002,1
Slugger,Kevin Abstract,57,0.0434,0.687,256347,0.8300000000000001,0.0,1,0.153,-7.085,1,0.332,80.042,0.256,1
rom com 2004,Soccer Mommy,47,0.178,0.5670000000000001,173967,0.545,0.00498,9,0.14200000000000002,-5.671,1,0.0396,89.911,0.342,1
The Talk,Chief Keef,46,0.000163,0.643,274737,0.626,5.59e-06,2,0.127,-6.258,1,0.0591,75.962,0.09230000000000001,1
Good Girls,CHVRCHES,46,0.0032,0.525,199456,0.797,0.0013200000000000002,8,0.219,-6.192,1,0.054200000000000005,87.053,0.34900000000000003,0
Thirstier,TORRES,32,0.009770000000000001,0.484,248213,0.5700000000000001,1.41e-06,10,0.184,-6.841,1,0.0298,99.688,0.255,0
Mid,Teezo Touchdown,41,0.0351,0.605,159931,0.859,0.0018800000000000002,8,0.159,-2.345,1,0.0345,135.969,0.435,0
Wild Side,Normani,75,0.024900000000000002,0.74,209476,0.5760000000000001,0.0,6,0.10400000000000001,-6.744,0,0.146,110.095,0.315,0
Bunny Is a Rider,Caroline Polachek,59,0.0714,0.792,197480,0.662,0.0023,6,0.09820000000000001,-7.187,0,0.0476,110.001,0.399,0
Holy Smokes,Trippie Redd,66,0.195,0.422,181714,0.491,0.0,6,0.14200000000000002,-5.703,1,0.368,184.344,0.67,-1
Everybody Sins,Andrew W.K.,29,0.0843,0.456,372027,0.919,0.0010600000000000002,0,0.08610000000000001,-3.532,0,0.0572,151.924,0.223,-1
My Way,Logic,51,0.018600000000000002,0.608,156530,0.667,0.0,8,0.11900000000000001,-5.751,1,0.039900000000000005,184.021,0.15,-1
Cherry Flavored Stomach Ache,HAIM,33,0.0021300000000000004,0.546,151853,0.748,0.00084,11,0.5640000000000001,-7.521,1,0.0596,127.129,0.663,-1
Fix the Error,Between the Buried and Me,40,0.000137,0.214,300680,0.975,0.00234,11,0.257,-5.855,0,0.101,161.092,0.41500000000000004,1
BDE,Shygirl,52,0.00136,0.715,168173,0.67,0.00025499999999999996,11,0.649,-6.667,0,0.0891,95.013,0.529,1
